city,lat,lon,code_insee
Mont Saint Michel,48.6359541,-1.511459954959514,50353
St Malo,48.649518,-2.0260409,35288
Bayeux,49.2764624,-0.7024738,14047
Le Havre,49.4938975,0.1079732,76351
Rouen,49.4404591,1.0939658,76540
Paris,48.8534951,2.3483915,75056
Amiens,49.8941708,2.2956951,80021
Lille,50.6365654,3.0635282,59350
Strasbourg,48.584614,7.7507127,67482
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,67362
Colmar,48.0777517,7.3579641,68066
Eguisheim,48.0447968,7.3079618,68078
Besancon,47.2380222,6.0243622,25056
Dijon,47.3215806,5.0414701,21231
Annecy,45.8992348,6.1288847,74010
Grenoble,45.1875602,5.7357819,38185
Lyon,45.7578137,4.8320114,69123
Castellane,43.846459,6.5134463,04039
Bormes les Mimosas,43.1506968,6.3419285,83019
Cassis,43.2140359,5.5396318,13022
Marseille,43.2961743,5.3699525,13055
Aix en Provence,43.5298424,5.4474738,13001
Avignon,43.9492493,4.8059012,84007
Uzes,44.0121279,4.4196718,30334
Nimes,43.8374249,4.3600687,30189
Aigues Mortes,43.5661521,4.19154,30003
Saintes Maries de la mer,43.4515922,4.4277202,13096
Collioure,42.52505,3.0831554,66053
Carcassonne,43.2130358,2.3491069,11069
Foix,42.9638998,1.6053807,09122
Toulouse,43.6044622,1.4442469,31555
Montauban,44.0175835,1.3549991,82121
Biarritz,43.4832523,-1.5592776,64122
Bayonne,43.4945144,-1.4736657,64102
La Rochelle,46.1591126,-1.1520434,17300
