city,total_day_sum,rainy_day_sum,cold_day_sum,hot_day_sum,windy_day_sum,rr10_mean,rr1_mean,tmin_mean,tmax_mean,wind10m_mean,gust10m_mean,id
Cassis,0,0,0,0,0,0.0,0.0,21.857142857142858,27.428571428571427,12.857142857142858,25.571428571428573,1
Marseille,0,0,0,0,0,0.0,0.0,21.714285714285715,27.0,13.571428571428571,26.428571428571427,2
Saintes Maries de la mer,0,0,0,0,0,0.1285714285714286,0.4857142857142857,20.285714285714285,27.142857142857142,15.714285714285714,32.57142857142857,3
Aigues Mortes,0,0,0,0,0,0.34285714285714286,0.8142857142857143,20.142857142857142,27.285714285714285,13.571428571428571,28.428571428571427,4
Bormes les Mimosas,1,1,0,0,0,0.08571428571428572,0.8571428571428571,22.714285714285715,27.0,10.714285714285714,22.571428571428573,5
Paris,2,0,2,0,0,0.31428571428571433,0.35714285714285715,14.857142857142858,25.428571428571427,11.428571428571429,25.428571428571427,6
Collioure,2,1,0,1,0,0.8857142857142858,1.457142857142857,20.857142857142858,27.0,15.0,30.857142857142858,7
Aix en Provence,3,0,0,3,0,0.0,0.0,20.714285714285715,29.714285714285715,10.714285714285714,24.428571428571427,8
Nimes,3,0,0,3,0,0.5285714285714286,0.8142857142857143,19.428571428571427,29.428571428571427,13.571428571428571,30.571428571428573,9
Annecy,3,2,2,1,0,1.9142857142857144,3.6285714285714286,16.428571428571427,26.285714285714285,5.714285714285714,16.857142857142858,10
Besancon,3,2,2,1,0,3.8857142857142857,6.171428571428572,14.857142857142858,25.428571428571427,8.571428571428571,21.571428571428573,11
La Rochelle,4,0,4,0,0,0.08571428571428572,0.08571428571428572,16.428571428571427,23.428571428571427,18.571428571428573,33.0,12
Uzes,4,0,0,4,0,0.4571428571428572,1.0285714285714287,18.285714285714285,30.0,14.285714285714286,31.142857142857142,13
Amiens,4,1,4,0,1,0.8714285714285713,1.5857142857142856,14.142857142857142,23.428571428571427,12.142857142857142,28.285714285714285,14
Castellane,4,1,4,0,0,1.3142857142857143,1.6714285714285713,13.428571428571429,24.0,13.571428571428571,28.571428571428573,15
Foix,4,1,4,0,0,1.3142857142857143,1.6714285714285713,13.428571428571429,24.0,13.571428571428571,28.571428571428573,16
Strasbourg,4,1,3,1,0,1.5,1.9285714285714286,15.571428571428571,25.857142857142858,8.571428571428571,19.714285714285715,17
Chateau du Haut Koenigsbourg,4,1,3,1,0,1.9285714285714286,2.642857142857143,14.0,25.0,7.142857142857143,18.0,18
Colmar,4,1,3,1,0,1.9285714285714286,2.9285714285714284,15.285714285714286,26.0,7.142857142857143,18.428571428571427,19
Eguisheim,4,1,3,1,0,2.0714285714285716,2.9285714285714284,14.285714285714286,24.857142857142858,6.428571428571429,17.714285714285715,20
Dijon,4,2,3,1,0,3.7142857142857144,6.428571428571429,14.428571428571429,25.571428571428573,9.285714285714286,25.0,21
Avignon,5,0,0,5,0,0.07142857142857142,0.42857142857142855,20.0,30.857142857142858,15.0,30.714285714285715,22
Lille,5,1,5,0,1,0.7000000000000001,1.1571428571428573,14.714285714285714,23.142857142857142,12.857142857142858,28.142857142857142,23
Rouen,5,1,5,0,0,0.9285714285714286,1.3857142857142857,14.285714285714286,22.428571428571427,10.714285714285714,26.571428571428573,24
Bayonne,5,3,3,0,0,2.2285714285714286,4.2,16.428571428571427,24.285714285714285,9.285714285714286,20.428571428571427,25
Mont Saint Michel,5,2,5,0,0,2.542857142857143,4.271428571428571,13.857142857142858,22.142857142857142,13.571428571428571,27.428571428571427,26
Grenoble,6,1,2,4,0,0.9571428571428572,2.3857142857142857,18.571428571428573,28.428571428571427,7.142857142857143,17.714285714285715,27
Carcassonne,6,1,1,5,0,1.5285714285714285,2.5,18.428571428571427,29.857142857142858,12.857142857142858,28.142857142857142,28
Montauban,6,2,1,5,0,1.6285714285714286,2.6714285714285713,15.571428571428571,29.428571428571427,10.714285714285714,23.714285714285715,29
Lyon,6,2,2,4,0,1.7857142857142858,2.642857142857143,16.571428571428573,28.285714285714285,8.571428571428571,22.857142857142858,30
Biarritz,6,3,5,0,0,2.2,4.485714285714286,17.142857142857142,23.571428571428573,10.0,22.0,31
Toulouse,6,2,1,5,0,2.557142857142857,4.814285714285715,16.571428571428573,28.857142857142858,11.428571428571429,26.285714285714285,32
St Malo,6,2,6,0,1,2.742857142857143,4.1,14.428571428571429,21.428571428571427,15.714285714285714,30.285714285714285,33
Le Havre,7,2,7,0,1,1.4857142857142858,2.642857142857143,15.285714285714286,20.571428571428573,15.714285714285714,30.285714285714285,34
Bayeux,7,2,7,0,1,1.9000000000000001,3.185714285714286,14.0,20.714285714285715,15.0,29.142857142857142,35
